shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,Product_Goodness
600,1,15.49400,800.49097,1.08800,28.24119,663.78113,663.78113,0.36000,20.05069,1.98600,190.00000,195.10001,199.80000,204.80000,209.80000,44.00000,0.66800,1
601,1,15.39600,800.30652,0.89600,28.24119,656.10681,656.10681,0.36000,20.00482,1.97800,190.10001,194.80000,199.80000,204.80000,209.80000,44.20000,0.66600,1
602,1,15.55600,800.30652,1.10400,28.24119,673.20404,673.20404,0.36000,20.04559,1.99600,189.80000,194.80000,199.80000,205.00000,209.80000,44.20000,0.66600,0
603,1,15.53400,800.30652,1.08600,28.24119,666.11255,666.11255,0.36000,20.08636,1.98400,190.00000,195.00000,199.60001,205.00000,209.80000,44.20000,0.66600,1
604,1,15.49400,800.49097,1.05200,28.24119,660.08966,660.08966,0.36000,19.98953,1.98600,190.00000,195.10001,199.80000,205.00000,209.80000,44.20000,0.66600,1
605,1,15.39600,800.30652,0.97000,28.24119,665.62683,665.62683,0.36000,20.07617,2.00400,189.80000,195.10001,200.10001,205.00000,209.80000,44.20000,0.66400,1
606,1,15.55600,800.30652,1.09600,28.24119,675.24408,675.24408,0.36000,20.06088,1.98400,189.80000,195.10001,200.00000,205.00000,209.80000,44.20000,0.66800,1
607,1,15.53400,800.30652,1.18400,28.24119,672.03833,672.03833,0.36000,20.08127,1.98600,189.60001,195.10001,200.10001,204.80000,209.80000,44.40000,0.66200,1
608,1,15.49400,800.49097,1.03600,28.24119,671.55261,671.55261,0.36000,20.04049,1.98600,189.80000,195.30000,200.10001,205.00000,209.80000,44.20000,0.66400,1
609,1,15.39600,799.93762,0.95200,28.24119,667.66687,667.66687,0.36000,20.08127,1.97400,189.80000,195.30000,200.00000,205.00000,209.80000,44.40000,0.66200,1
610,1,15.55600,800.12207,0.88000,28.24119,675.04980,675.04980,0.36000,19.99462,1.98200,189.80000,195.30000,199.80000,205.00000,210.00000,44.50000,0.66600,1
611,1,15.53400,800.30652,0.79000,28.24119,670.38690,670.38690,0.36000,20.09656,1.97600,189.80000,195.30000,200.10001,205.00000,209.80000,44.50000,0.66200,1
612,1,15.49400,800.30652,0.92200,28.24119,670.19263,670.19263,0.36000,20.08636,1.96000,189.80000,195.30000,200.10001,205.00000,210.00000,44.50000,0.66800,1
613,1,15.39600,800.12207,1.12200,28.24119,672.42688,672.42688,0.36000,20.10165,1.98400,189.80000,195.30000,200.00000,205.00000,210.00000,44.50000,0.66200,1
614,1,15.55600,800.12207,0.89200,28.24119,655.23248,655.23248,0.36000,20.08127,1.98000,189.80000,195.10001,200.10001,205.00000,210.00000,44.50000,0.66400,1
615,1,15.53400,800.12207,0.95000,28.24119,668.63831,668.63831,0.36000,20.11695,1.97400,189.60001,194.80000,200.10001,205.00000,210.00000,44.50000,0.66400,1
616,1,15.49400,800.12207,1.00600,28.24119,655.81537,655.81537,0.36000,20.08636,1.96000,189.80000,195.10001,200.00000,205.00000,210.00000,44.50000,0.66400,1
617,1,15.39600,799.93762,1.19000,28.24119,660.28400,660.28400,0.36000,20.13224,1.96600,189.80000,195.10001,200.10001,205.00000,210.00000,44.50000,0.66200,1
618,1,15.55600,799.75317,0.92000,28.24119,663.78113,663.78113,0.36000,20.10165,1.96800,189.80000,195.10001,200.00000,204.80000,210.00000,44.50000,0.66400,1
619,1,15.53400,799.93762,0.89000,28.24119,642.50671,642.50671,0.36000,20.10675,1.95000,190.00000,195.10001,200.00000,204.80000,209.80000,44.70000,0.66200,0
620,1,15.49600,799.93762,0.75600,28.24119,648.91821,648.91821,0.36000,20.05578,1.97600,190.10001,195.10001,199.80000,204.80000,209.80000,44.70000,0.66600,1
621,1,15.39600,799.93762,1.33800,28.24119,652.70679,652.70679,0.36000,20.05578,1.97400,190.10001,194.80000,199.80000,205.00000,209.80000,44.70000,0.66800,1
622,1,15.55600,799.75317,0.82800,28.24119,664.46112,664.46112,0.36000,20.09146,1.98000,190.00000,194.60001,199.80000,205.00000,209.80000,44.70000,0.66600,1
623,1,15.53400,799.75317,0.87800,28.24119,659.50684,659.50684,0.36000,20.05069,1.97000,189.80000,194.80000,199.80000,205.00000,209.80000,44.70000,0.66400,1
624,1,15.49400,799.75317,0.93400,28.24119,666.69543,666.69543,0.36000,20.05069,1.98200,190.00000,194.60001,199.80000,205.00000,209.80000,44.70000,0.66200,1
625,1,15.39600,799.93762,1.14600,28.24119,669.41547,669.41547,0.36000,20.06598,1.98600,189.80000,194.60001,199.80000,205.00000,210.00000,44.90000,0.66400,1
626,1,15.55400,799.75317,0.91000,28.24119,669.90118,669.60974,0.36000,20.08127,1.98000,189.80000,194.60001,199.80000,205.00000,210.00000,44.90000,0.66200,1
627,1,15.53400,799.93762,0.95000,28.24119,671.45544,671.35834,0.36000,20.07617,1.97600,189.80000,194.60001,199.80000,205.00000,209.80000,44.90000,0.66600,1
628,1,15.49400,799.56873,1.26200,28.24119,678.44977,678.44977,0.36000,20.08636,1.98200,189.80000,194.60001,199.80000,204.80000,209.80000,45.00000,0.66200,1
629,1,15.39600,799.56873,1.27800,28.24119,669.02686,669.02686,0.36000,20.09656,1.97000,189.80000,194.60001,199.80000,205.00000,209.80000,45.00000,0.66200,1
630,1,15.55600,799.56873,1.07200,28.24119,664.07257,664.07257,0.36000,20.08636,1.97000,189.80000,194.80000,199.80000,205.00000,209.80000,45.00000,0.66400,1
631,1,15.53400,799.75317,0.92600,28.24119,671.74689,671.74689,0.36000,20.05578,1.97200,189.80000,194.80000,199.80000,205.00000,209.80000,45.20000,0.66200,1
632,1,15.49400,799.75317,1.09600,28.24119,690.68988,690.68988,0.36000,20.08636,1.98000,189.80000,195.00000,199.80000,205.00000,209.80000,45.00000,0.66600,1
633,1,15.39600,799.75317,0.86800,28.24119,668.83258,668.83258,0.36000,20.07617,1.97600,189.80000,195.00000,199.80000,205.00000,210.00000,45.20000,0.66000,1
634,1,15.55600,799.56873,0.84000,28.24119,674.85547,674.85547,0.36000,20.11695,1.98200,189.60001,194.80000,199.80000,205.00000,210.00000,45.20000,0.66400,1
