Peak value tool,Peak value screw,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Maximum injection pressure,Switch-over pressure,Peak value of mould,Peak value of ejector,Cycle time,Dosing time,Injection time,Mould protection time,Temperature of feed yoke,Material cushion,Switch-over volume,Cylinder heating zone 5,ground_truth
801.782,119.909,214.8,214.8,220,225,2195.539,1702.245,2.762,0.15,24.338,2.054,0.452,0.658,47.7,29.796,44.989,229.8,1
802.151,119.909,214.8,214.8,220,225,2182.327,1717.593,3.108,0.15,24.338,2.072,0.452,0.654,47.2,29.847,44.979,230,1
802.151,119.909,214.8,214.8,220,225,2182.327,1717.593,3.108,0.15,24.338,2.072,0.452,0.654,47.2,29.847,44.979,230,1
802.151,119.909,214.8,214.8,220,224.8,2177.179,1708.559,3.25,0.15,24.338,2.064,0.452,0.656,46.5,29.882,44.953,230,1
801.966,119.909,215.1,215.1,220,225,2214.968,1732.456,2.824,0.15,24.34,2.038,0.454,0.656,45.9,29.475,44.974,229.8,1
801.966,119.909,215.1,215.1,220,225,2214.968,1732.456,2.824,0.15,24.34,2.038,0.454,0.656,45.9,29.475,44.974,229.8,0
801.966,119.909,215.1,215.1,220,225,2202.048,1717.982,3.2,0.148,24.34,2.06,0.454,0.658,44.7,29.403,44.948,229.8,1
801.966,119.909,215.1,215.1,220,225,2202.048,1717.982,3.2,0.148,24.34,2.06,0.454,0.658,44.7,29.403,44.948,229.8,1
802.151,119.909,215,215.1,220,225,2195.442,1729.445,3.77,0.146,24.338,2.046,0.452,0.656,43.5,29.133,44.994,229.8,1
802.151,119.909,215,215.1,220,225,2195.442,1729.445,3.77,0.146,24.338,2.046,0.452,0.656,43.5,29.133,44.994,229.8,1
801.782,119.909,215.1,215.1,220.1,225,2185.63,1748.582,2.89,0.146,24.338,2.036,0.452,0.658,42.7,28.659,44.974,229.8,1
801.966,119.909,214.8,215.1,220,225,2187.379,1741.49,3.14,0.146,24.338,2.066,0.452,0.658,41.5,28.598,44.964,229.8,1
801.966,119.909,214.8,215.1,220,225,2187.379,1741.49,3.14,0.146,24.338,2.066,0.452,0.658,41.5,28.598,44.964,229.8,0
801.598,119.909,214.6,215,220,225,2182.036,1762.668,3.558,0.146,24.338,2.016,0.452,0.658,40.9,27.986,44.989,229.8,1
801.598,119.909,214.6,215,220,225,2182.036,1762.668,3.558,0.146,24.338,2.016,0.452,0.658,40.9,27.986,44.989,229.8,0
801.598,119.909,214.6,214.8,220,225,2188.545,1786.468,3.188,0.146,24.34,2.038,0.454,0.658,40.2,27.716,44.989,229.8,1
801.598,119.909,214.8,214.8,220,225,2217.591,1807.159,3.102,0.146,24.342,2.03,0.456,0.658,39.7,27.298,44.959,229.8,1
801.598,119.909,214.8,214.8,220,225,2217.591,1807.159,3.102,0.146,24.342,2.03,0.456,0.658,39.7,27.298,44.959,229.8,1
801.782,119.909,214.6,214.8,219.8,224.8,2201.367,1803.371,3.528,0.15,24.34,2.062,0.454,0.656,39.4,27.405,44.959,229.8,1
801.782,119.909,214.6,214.8,219.8,224.8,2201.367,1803.371,3.528,0.15,24.34,2.062,0.454,0.656,39.4,27.405,44.959,229.8,1
801.598,119.909,214.6,214.8,219.8,225,2206.031,1811.24,3.014,0.148,24.34,2.004,0.454,0.658,39.2,26.682,44.959,229.8,1
